date,y1,y2
1998/03/23 - 1998/03/29,71.52,72.47
1998/03/30 - 1998/04/05,72.01,73.04
1998/04/06 - 1998/04/12,71.13,72.32
1998/04/13 - 1998/04/19,69.87,70.9
1998/04/20 - 1998/04/26,68.95,69.88
1998/04/27 - 1998/05/03,68.91,69.84
1998/05/04 - 1998/05/10,67.98,68.78
1998/05/11 - 1998/05/17,64.26,64.82
1998/05/18 - 1998/05/24,63.68,64.15
1998/05/25 - 1998/05/31,59.86,60.13
1998/06/01 - 1998/06/07,59.28,59.64
1998/06/08 - 1998/06/14,54.96,56.05
1998/06/15 - 1998/06/21,53.8,54.73
1998/06/22 - 1998/06/28,55.23,55.45
1998/06/29 - 1998/07/05,55.22,56.29
1998/07/06 - 1998/07/12,54.96,56.14
1998/07/13 - 1998/07/19,53.93,54.71
1998/07/20 - 1998/07/26,53.62,54.57
1998/07/27 - 1998/08/02,53.53,54.56
1998/08/03 - 1998/08/09,54.05,55.11
1998/08/10 - 1998/08/16,52.11,53.08
1998/08/17 - 1998/08/23,51.1,51.95
1998/08/24 - 1998/08/30,51.13,51.99
1998/08/31 - 1998/09/06,49.62,50.35
1998/09/07 - 1998/09/13,49.07,49.75
1998/09/14 - 1998/09/20,47.8,48.82
1998/09/21 - 1998/09/27,47.66,48.13
1998/09/28 - 1998/10/04,46.5,47.36
1998/10/05 - 1998/10/11,45.71,46.48
1998/10/12 - 1998/10/18,48.27,49.48
1998/10/19 - 1998/10/25,50.17,51.25
1998/10/26 - 1998/11/01,51.26,52.15
1998/11/02 - 1998/11/08,52.43,53.04
1998/11/09 - 1998/11/15,52.94,53.55
1998/11/16 - 1998/11/22,54.35,54.89
1998/11/23 - 1998/11/29,54.4,55.24
1998/11/30 - 1998/12/06,54.53,55.22
1998/12/07 - 1998/12/13,56.25,56.82
1998/12/14 - 1998/12/20,55.45,55.91
1998/12/21 - 1998/12/27,55.04,55.52
1998/12/28 - 1999/01/03,55.86,56.44
1999/01/04 - 1999/01/10,56.42,57.21
1999/01/11 - 1999/01/17,55.66,56.34
1999/01/18 - 1999/01/24,54.67,55.22
1999/01/25 - 1999/01/31,56.05,56.79
1999/02/01 - 1999/02/07,56.5,57.3
1999/02/08 - 1999/02/14,55.13,55.75
1999/02/15 - 1999/02/21,55.88,56.6
1999/02/22 - 1999/02/28,55.02,55.62
1999/03/01 - 1999/03/07,55.08,55.73
1999/03/08 - 1999/03/14,55,55.69
1999/03/15 - 1999/03/21,54.82,55.63
1999/03/22 - 1999/03/28,55.58,56.5
1999/03/29 - 1999/04/04,55.74,56.67
1999/04/05 - 1999/04/11,55.86,56.72
1999/04/12 - 1999/04/18,56.1,57.11
1999/04/19 - 1999/04/25,57.23,58.38
1999/04/26 - 1999/05/02,56.18,57.46
1999/05/03 - 1999/05/09,56.97,58.09
1999/05/10 - 1999/05/16,56.01,57
1999/05/17 - 1999/05/23,55.96,56.99
1999/05/24 - 1999/05/30,56.43,57.56
1999/05/31 - 1999/06/06,55.34,56.18
1999/06/07 - 1999/06/13,56.97,58.03
1999/06/14 - 1999/06/20,56.73,57.56
1999/06/21 - 1999/06/27,56.45,57.22
1999/06/28 - 1999/07/04,55.59,56.68
1999/07/05 - 1999/07/11,55.84,56.72
1999/07/12 - 1999/07/18,55.95,56.93
1999/07/19 - 1999/07/25,55.03,55.7
1999/07/26 - 1999/08/01,55.1,55.78
1999/08/02 - 1999/08/08,56.62,57.81
1999/08/09 - 1999/08/15,54.47,55.57
1999/08/16 - 1999/08/22,54.35,55.43
1999/08/23 - 1999/08/29,53.12,54.04
1999/08/30 - 1999/09/05,52.7,53.29
1999/09/06 - 1999/09/12,52.12,52.63
1999/09/13 - 1999/09/19,51.72,52.17
1999/09/20 - 1999/09/26,52.1,52.61
1999/09/27 - 1999/10/03,52.1,52.71
1999/10/04 - 1999/10/10,53.37,54.19
1999/10/11 - 1999/10/17,52.01,52.67
1999/10/18 - 1999/10/24,51.3,51.85
1999/10/25 - 1999/10/31,51,51.51
1999/11/01 - 1999/11/07,50.62,50.78
1999/11/08 - 1999/11/14,51.3,51.55
1999/11/15 - 1999/11/21,52.06,52.4
1999/11/22 - 1999/11/28,51.98,52.42
1999/11/29 - 1999/12/05,51.98,52.43
1999/12/06 - 1999/12/12,53.3,53.63
1999/12/13 - 1999/12/19,53.74,54.19
1999/12/20 - 1999/12/26,53.86,54.09
1999/12/27 - 2000/01/02,54.24,54
2000/01/03 - 2000/01/09,53.65,53.15
2000/01/10 - 2000/01/16,53.46,52.94
2000/01/17 - 2000/01/23,55.22,55
2000/01/24 - 2000/01/30,53.3,52.84
2000/01/31 - 2000/02/06,53.11,52.62
2000/02/07 - 2000/02/13,52.12,51.51
2000/02/14 - 2000/02/20,53.44,53.11
2000/02/21 - 2000/02/27,55.32,55.2
2000/02/28 - 2000/03/05,54.32,54.07
2000/03/06 - 2000/03/12,53.65,53.32
2000/03/13 - 2000/03/19,54.15,53.84
2000/03/20 - 2000/03/26,54.16,53.79
2000/03/27 - 2000/04/02,53.33,52.88
2000/04/03 - 2000/04/09,52.28,51.89
2000/04/10 - 2000/04/16,52.28,51.88
2000/04/17 - 2000/04/23,51.62,51.06
2000/04/24 - 2000/04/30,51.62,51.07
2000/05/01 - 2000/05/07,50.7,50.09
2000/05/08 - 2000/05/14,50.3,49.67
2000/05/15 - 2000/05/21,49.6,49.05
2000/05/22 - 2000/05/28,49.13,48.72
2000/05/29 - 2000/06/04,47.34,46.94
2000/06/05 - 2000/06/11,46.72,46.3
2000/06/12 - 2000/06/18,47.02,46.61
2000/06/19 - 2000/06/25,46.97,46.58
2000/06/26 - 2000/07/02,47.25,46.88
2000/07/03 - 2000/07/09,47.43,46.87
2000/07/10 - 2000/07/16,47.77,47.2
2000/07/17 - 2000/07/23,47.94,47.42
2000/07/24 - 2000/07/30,48.15,47.59
2000/07/31 - 2000/08/06,48.44,47.96
2000/08/07 - 2000/08/13,48.5,48.03
2000/08/14 - 2000/08/20,48.44,47.93
2000/08/21 - 2000/08/27,48.88,48.45
2000/08/28 - 2000/09/03,48.45,48.04
2000/09/04 - 2000/09/10,48.4,47.98
2000/09/11 - 2000/09/17,48.45,48.01
2000/09/18 - 2000/09/24,48.8,48.29
2000/09/25 - 2000/10/01,48.41,47.85
2000/10/02 - 2000/10/08,47.89,47.29
2000/10/09 - 2000/10/15,48.38,47.7
2000/10/16 - 2000/10/22,48.47,47.79
2000/10/23 - 2000/10/29,48.1,47.35
2000/10/30 - 2000/11/05,47.6,46.85
2000/11/06 - 2000/11/12,48.01,47.3
2000/11/13 - 2000/11/19,46.71,46.02
2000/11/20 - 2000/11/26,46.39,45.68
2000/11/27 - 2000/12/03,46.02,45.4
2000/12/04 - 2000/12/10,45.2,44.54
2000/12/11 - 2000/12/17,44.58,43.86
